Coupon_id,early_prob,mid_prob,late_prob
2088,0.3333,0.0,0.6667
6194,0.0,0.0,1.0
5925,0.5,0.0,0.5
4937,1.0,0.0,0.0
3959,0.3158,0.3947,0.2895
9407,1.0,0.0,0.0
12888,0.7692,0.0,0.2308
9308,0.0,1.0,0.0
1808,0.2222,0.3333,0.4444
7487,0.3971,0.2353,0.3676
3200,0.6,0.0,0.4
11106,0.125,0.0,0.875
5913,0.0,0.5,0.5
5234,0.2941,0.2353,0.4706
3121,0.2222,0.3333,0.4444
6820,0.0,0.5,0.5
2888,0.5,0.1667,0.3333
9344,0.5,0.0,0.5
51,0.0,0.3333,0.6667
7616,0.0,0.0,1.0
10993,0.0833,0.0,0.9167
11002,0.5385,0.2308,0.2308
307,0.5,0.0,0.5
1773,0.0,0.0,1.0
13180,0.0,1.0,0.0
11698,0.1429,0.0,0.8571
10872,0.375,0.0,0.625
4594,0.2778,0.2667,0.4556
8680,0.266,0.1543,0.5798
13571,0.0,0.5,0.5
5291,0.5,0.0,0.5
1706,1.0,0.0,0.0
2477,0.0,0.5,0.5
747,1.0,0.0,0.0
13929,0.6,0.4,0.0
3250,0.3333,0.3333,0.3333
3656,0.0,0.0,1.0
11578,0.0,0.5,0.5
1104,0.0,0.0,1.0
2249,0.0,1.0,0.0
3408,0.3333,0.6667,0.0
4315,0.2857,0.0,0.7143
12437,0.3,0.0,0.7
15,1.0,0.0,0.0
7980,0.3333,0.3333,0.3333
9441,0.3333,0.0,0.6667
2144,0.0,0.0,1.0
282,0.25,0.4167,0.3333
10512,0.3333,0.3333,0.3333
11376,0.0,0.6,0.4
1412,0.0,0.4444,0.5556
8547,0.2,0.0,0.8
3996,0.3077,0.3462,0.3462
11281,0.0,0.0,1.0
13563,0.2857,0.0952,0.619
2079,0.1622,0.0,0.8378
3711,0.3158,0.2632,0.4211
4165,0.5,0.0,0.5
8847,0.2857,0.7143,0.0
6841,0.0,1.0,0.0
10975,0.1429,0.2857,0.5714
8906,0.0,1.0,0.0
1235,0.0,1.0,0.0
11539,0.455,0.2124,0.3326
415,0.0,0.0,1.0
12319,0.0,0.0,1.0
12874,0.0,0.0,1.0
10440,0.0,1.0,0.0
12955,0.0,0.0,1.0
11364,0.3333,0.3333,0.3333
12429,0.2917,0.2917,0.4167
9580,0.0,0.0,1.0
3660,0.3333,0.6667,0.0
11869,0.0,0.0,1.0
7283,0.3333,0.6667,0.0
4738,0.0,0.0,1.0
10263,0.6379,0.181,0.181
2201,1.0,0.0,0.0
2443,0.0,0.0,1.0
10651,0.1667,0.0,0.8333
2989,0.0,0.0,1.0
6119,0.0833,0.0,0.9167
9623,0.0,0.0,1.0
13806,0.3684,0.4211,0.2105
9545,0.4,0.5333,0.0667
9537,0.0,1.0,0.0
991,0.0,0.0,1.0
9581,0.1667,0.0,0.8333
11865,1.0,0.0,0.0
13304,0.375,0.125,0.5
11571,0.3333,0.2857,0.381
12123,0.1667,0.8333,0.0
3583,0.2857,0.2857,0.4286
8828,0.3333,0.1667,0.5
13782,0.5625,0.1875,0.25
3090,0.5,0.0,0.5
1429,0.0,0.0,1.0
7609,0.125,0.0,0.875
6140,0.0,0.0,1.0
13312,0.0,0.0,1.0
11238,0.0,0.0,1.0
5199,0.1818,0.0,0.8182
13543,0.3846,0.1538,0.4615
5092,1.0,0.0,0.0
446,0.2286,0.4286,0.3429
5000,0.25,0.5,0.25
2111,0.5,0.3636,0.1364
1931,1.0,0.0,0.0
4786,0.0,0.0,1.0
9670,0.2,0.0,0.8
4823,0.1921,0.4834,0.3245
5415,0.0,0.0,1.0
3478,0.0588,0.4706,0.4706
10363,0.1,0.0,0.9
3288,0.3636,0.5455,0.0909
1314,0.0,0.6667,0.3333
13441,0.7895,0.2105,0.0
10791,0.25,0.75,0.0
8600,0.6,0.0,0.4
12852,0.5556,0.0741,0.3704
4117,0.1667,0.0,0.8333
12255,0.0,0.3333,0.6667
9956,0.5,0.5,0.0
11472,0.5,0.5,0.0
3316,0.0606,0.0,0.9394
6179,0.625,0.0,0.375
11367,0.5,0.0,0.5
7879,0.4,0.2,0.4
3733,0.0,0.0,1.0
8798,1.0,0.0,0.0
12614,0.0,1.0,0.0
12993,0.375,0.3125,0.3125
1097,1.0,0.0,0.0
5820,0.1667,0.375,0.4583
3642,0.0,0.4094,0.5906
8735,0.0571,0.5143,0.4286
4166,0.0,1.0,0.0
12683,0.4516,0.2742,0.2742
13242,0.0,0.375,0.625
13884,0.75,0.0,0.25
162,0.25,0.125,0.625
10808,0.6667,0.3333,0.0
13531,1.0,0.0,0.0
12785,0.2222,0.6667,0.1111
7737,0.3636,0.2727,0.3636
3727,1.0,0.0,0.0
11394,0.3333,0.0,0.6667
6219,0.0,0.8333,0.1667
8553,0.5,0.0,0.5
3098,0.2,0.0,0.8
5857,0.3333,0.3333,0.3333
9683,0.3333,0.0,0.6667
3507,0.0,0.3774,0.6226
2926,0.5,0.5,0.0
8172,0.2069,0.0,0.7931
1882,0.0,0.0,1.0
13835,0.0,1.0,0.0
160,0.0,0.8,0.2
8017,0.3333,0.0,0.6667
11835,1.0,0.0,0.0
4020,0.5,0.0,0.5
11824,0.2524,0.0,0.7476
7523,0.0,0.6667,0.3333
6282,0.5,0.0,0.5
7038,0.0909,0.0,0.9091
1563,0.0962,0.0,0.9038
5582,0.2616,0.3198,0.4186
8732,0.1944,0.3889,0.4167
4271,0.0,0.5,0.5
5464,0.5,0.5,0.0
4310,0.75,0.25,0.0
9919,0.0,0.0,1.0
3449,1.0,0.0,0.0
13374,0.3077,0.4615,0.2308
8849,0.6667,0.3333,0.0
6156,0.25,0.0,0.75
4080,0.1429,0.5714,0.2857
11860,0.5082,0.1803,0.3115
6661,0.6667,0.0,0.3333
1501,0.0,0.0,1.0
4224,0.0,1.0,0.0
9134,0.3333,0.6667,0.0
2496,1.0,0.0,0.0
11501,0.82,0.08,0.1
7645,0.0,0.4737,0.5263
6325,0.0,0.5,0.5
8389,0.0,0.5,0.5
12315,0.0,0.1667,0.8333
4889,0.0,0.5,0.5
1609,0.0,0.0,1.0
636,0.5,0.5,0.0
13916,0.3077,0.3846,0.3077
13371,0.25,0.0,0.75
6124,0.25,0.75,0.0
3726,0.5357,0.2857,0.1786
6111,0.0,0.8333,0.1667
5515,0.0,0.0,1.0
9094,0.2,0.0,0.8
2774,0.0,0.5,0.5
4305,0.0,0.0,1.0
9274,0.3617,0.1915,0.4468
3770,0.0,1.0,0.0
1613,0.4732,0.2679,0.2589
13471,0.4,0.4,0.2
11063,0.4138,0.2241,0.3621
11050,0.25,0.125,0.625
13995,0.0,0.6667,0.3333
1565,0.0,0.0,1.0
3251,0.5,0.5,0.0
4874,0.2,0.6,0.2
3605,0.32,0.56,0.12
7323,0.25,0.1667,0.5833
2977,0.4,0.4,0.2
933,0.2549,0.0,0.7451
8592,0.3077,0.3462,0.3462
9493,0.1429,0.5714,0.2857
7460,0.6667,0.3333,0.0
9007,0.0,0.5,0.5
11214,0.25,0.625,0.125
12729,0.3333,0.0,0.6667
