Merchant_id,pos_ratio,Pos_Count,total_count
56505,0.3908,222,568
34115,0.3871,12,31
59705,0.3825,70,183
12512,0.375,21,56
43806,0.3469,17,49
49403,0.3353,395,1178
51005,0.2917,14,48
21008,0.2847,39,137
52413,0.2727,3,11
42110,0.2593,7,27
35006,0.2561,21,82
47311,0.2381,5,21
28100,0.2286,8,35
33600,0.2222,2,9
17104,0.2217,45,203
57009,0.2118,129,609
57614,0.2073,34,164
27715,0.2006,66,329
35212,0.2,5,25
35915,0.2,1,5
39413,0.2,4,20
42415,0.1951,8,41
52005,0.1928,554,2874
35903,0.1925,31,161
36804,0.1923,5,26
43115,0.1923,5,26
41615,0.1875,3,16
33807,0.1852,5,27
56412,0.1842,7,38
57907,0.1837,18,98
48909,0.1824,27,148
57810,0.1818,2,11
53006,0.1795,35,195
11806,0.1786,20,112
10401,0.177,20,113
25611,0.1769,260,1470
11915,0.1744,15,86
46415,0.1667,5,30
19304,0.1646,13,79
46602,0.164,243,1482
44603,0.1617,27,167
33803,0.1602,29,181
10112,0.1597,19,119
36606,0.1591,7,44
47814,0.1582,75,474
46005,0.1579,6,38
16113,0.1556,103,662
47710,0.1548,122,788
35511,0.1538,70,455
27209,0.1522,7,46
43802,0.152,175,1151
37414,0.1515,5,33
50910,0.1515,15,99
29605,0.1512,88,582
43310,0.1484,100,674
16401,0.1481,4,27
59814,0.1473,19,129
37101,0.1429,10,70
33202,0.1406,9,64
29906,0.1398,93,665
46710,0.1392,159,1142
14010,0.1389,5,36
25305,0.1389,10,72
25304,0.1379,4,29
11211,0.1364,3,22
24313,0.1362,261,1916
44805,0.1354,135,997
50200,0.1351,5,37
55205,0.1351,20,148
19110,0.1333,183,1373
31313,0.1315,249,1893
27210,0.1294,11,85
28014,0.1286,9,70
39908,0.128,16,125
43015,0.1277,6,47
24312,0.1273,7,55
21405,0.1268,9,71
57007,0.1259,51,405
16003,0.125,1,8
27810,0.125,20,160
36201,0.125,1,8
53304,0.125,6,48
38200,0.1238,346,2795
47003,0.1237,217,1754
42907,0.1231,16,130
57600,0.1204,13,108
42210,0.12,18,150
52702,0.12,3,25
46606,0.1197,201,1679
48010,0.1193,96,805
42103,0.1184,9,76
56103,0.1176,16,136
29900,0.1172,85,725
23708,0.1171,13,111
57914,0.1164,22,189
47510,0.1146,18,157
28109,0.1136,5,44
44609,0.1136,5,44
21806,0.1132,6,53
48710,0.1121,12,107
12208,0.1111,2,18
24213,0.1111,4,36
44612,0.1111,10,90
40303,0.1102,13,118
27102,0.1085,32,295
23400,0.1081,8,74
